,ESDCode,DistrictCode,DistrictName,D-Address,D-City,D-State,D-ZipCode,D-Latitude,D-Longitude,D-CongressionalDistrict,D-StateDistrictNo
0,_34801,14005,Aberdeen School District,216 N G ST,ABERDEEN,Washington,98520-5297,46.978406,-123.816542,WA6,19
1,_34801,21226,Adna School District,PO BOX 118,ADNA,Washington,98522-0118,46.571323,-123.29838400000001,WA3,19
2,_32801,22017,Almira School District,PO BOX 217,ALMIRA,Washington,99103-0217,47.71098,-118.94085,WA5,9
3,_29801,29103,Anacortes School District,2200 M AVE,ANACORTES,Washington,98221-3794,48.504534,-122.617557,WA2,40
4,_29801,31016,Arlington School District,315 N FRENCH AVE,ARLINGTON,Washington,98223-1317,48.189602,-122.12228200000001,WA1,10
5,_11801,2420,Asotin-Anatone School District,PO BOX 489,ASOTIN,Washington,99402-0489,46.33933,-117.04821000000001,WA5,9
6,_17801,17408,Auburn School District,915 4TH ST NE,AUBURN,Washington,98002-4452,47.311986,-122.21716299999999,WA9,47
7,_17801,18303,Bainbridge Island School District,8489 MADISON AVE NE,BAINBRIDGE ISLAND,Washington,98110-2999,47.642745,-122.52116799999999,WA6,23
8,_6801,6119,Battle Ground School District,PO BOX 200,BATTLE GROUND,Washington,98604-0200,45.803592,-122.531645,WA3,20
9,_17801,17405,Bellevue School District,PO BOX 90010,BELLEVUE,Washington,98005-3183,47.620471,-122.17888300000001,WA9,48
10,_29801,37501,Bellingham School District,1306 DUPONT ST,BELLINGHAM,Washington,98225-3118,48.759265,-122.48701899999999,WA2,42
11,_32801,1122,Benge School District,2978 E BENGE WINONA RD,BENGE,Washington,99105-9705,46.916719,-118.084226,WA5,9
12,_17801,27403,Bethel School District,516 176th St E,Spanaway,Washington,98387,47.096788000000004,-122.42546999999999,WA10,29
13,_39801,20203,Bickleton School District,3626 Bickleton Highway,Bickleton,Washington,99322,45.975029,-120.33806799999999,WA4,14
14,_29801,37503,Blaine School District,765 H Street,BLAINE,Washington,98230,48.993777,-122.742181,WA2,42
15,_34801,21234,Boistfort School District,983 BOISTFORT RD,CURTIS,Washington,98538-9734,46.550374,-123.13153999999999,WA3,19
16,_18801,18100,Bremerton School District,134 MARION AVE N,BREMERTON,Washington,98312-3542,47.564393,-122.662272,WA6,26
17,_4801,24111,Brewster School District,P.O. Box 97,Brewster,Washington,98812,48.09598,-119.78062,WA4,7
18,_4801,9075,Bridgeport School District,PO BOX 1060,BRIDGEPORT,Washington,98813-1060,48.0082,-119.67116000000001,WA4,7
19,_18801,16046,Brinnon School District,46 SCHOOLHOUSE RD,BRINNON,Washington,98320-9651,47.697241999999996,-122.903097,WA6,24
20,_29801,29100,Burlington-Edison School District,927 E FAIRHAVEN AVE,BURLINGTON,Washington,98233-1900,48.475637,-122.32258300000001,WA2,40
21,_6801,6117,Camas School District,841 NE 22nd AVE,CAMAS,Washington,98607-1148,45.595586,-122.401903,WA3,17
22,_18801,5401,Cape Flattery School District,PO BOX 109,SEKIU,Washington,98381-9747,48.288633000000004,-124.397803,WA6,24
23,_17801,27019,Carbonado School District,PO BOX 131,CARBONADO,Washington,98323-0131,47.052209999999995,-122.025502,WA8,2
24,_4801,4228,Cascade School District,330 EVANS ST,LEAVENWORTH,Washington,98826-1244,47.597761,-120.66377800000001,WA8,12
25,_4801,4222,CASHMERE SCHOOL DISTRICT,210 S DIVISION ST,CASHMERE,Washington,98815-1133,47.519416,-120.470557,WA8,12
26,_6801,8401,Castle Rock School District,600 HUNTINGTON AVE S,CASTLE ROCK,Washington,98611-8901,46.271811,-122.9064,WA3,19
27,_34950,18901,Catalyst Public Schools,1305 Ironsides Avenue,Bremerton,Washington,98310,47.572309000000004,-122.612137,WA6,23
28,_6801,20215,Centerville School District,ATTN:Ann Varkados,CENTERVILLE,Washington,98613-3021,45.738205,-120.993902,WA4,14
29,_18801,18401,Central Kitsap School District,PO BOX 8,SILVERDALE,Washington,98383-9197,47.690048,-122.712678,WA6,23
30,_32801,32356,Central Valley School District,2218 N. Molter,Liberty Lake,Washington,99019,47.67788,-117.090457,WA5,4
31,_34801,21401,Centralia School District,PO Box 610,CENTRALIA,Washington,98531,46.713822,-123.01046000000001,WA3,20
32,_34801,21302,Chehalis School District,310 SW 16TH ST,CHEHALIS,Washington,98532-3809,46.65104,-122.95071399999999,WA3,20
33,_32801,32360,Cheney School District,12414 S Andrus Rd,CHENEY,Washington,99004,47.543145,-117.547123,WA5,9
34,_32801,33036,Chewelah School District,PO BOX 47,Chewelah,Washington,99109-8970,48.293181,-117.739245,WA5,7
35,_OSPI,27901,Chief Leschi Tribal Compact,5625 52nd St E,Puyallup,Washington,98371,47.210346,-122.35401200000001,WA10,25
36,_18801,16049,Chimacum School District,PO BOX 278,CHIMACUM,Washington,98325-0278,48.01092,-122.76878,WA6,24
37,_11801,2250,Clarkston School District,PO BOX 70,CLARKSTON,Washington,99403-2557,46.369710999999995,-117.22593400000001,WA5,9
38,_39801,19404,Cle Elum-Roslyn School District,4244 BULLFROG ROAD,CLE ELUM,Washington,98922,47.205715999999995,-120.98011699999999,WA8,13
39,_17801,27400,Clover Park School District,10903 GRAVELLY LAKE DR SW,LAKEWOOD,Washington,98499-1341,47.158989,-122.51955600000001,WA10,28
40,_32801,38300,Colfax School District,1207 N MORTON ST,COLFAX,Washington,99111-2198,46.893936,-117.358677,WA5,9
41,_11801,36250,College Place School District,1755 S College Ave,COLLEGE PLACE,Washington,99324-1175,46.030884,-118.387588,WA5,16
42,_32801,38306,Colton School District,706 UNION,COLTON,Washington,99113-0109,46.575075,-117.20658799999998,WA5,9
43,_32801,33206,Columbia (Stevens) School District,PO BOX 7,HUNTERS,Washington,99137-0007,48.150397999999996,-118.077422,WA5,7
44,_11801,36400,Columbia (Walla Walla) School District,755 MAPLE ST,BURBANK,Washington,99323-0548,46.199484000000005,-119.008591,WA5,16
45,_32801,33115,Colville School District,217 S HOFSTETTER ST,COLVILLE,Washington,99114-3239,48.543225,-117.89706299999999,WA5,7
46,_29801,29011,Concrete School District,45389 AIRPORT WAY ,CONCRETE,Washington,98237-9355,48.531385,-121.753201,WA2,39
47,_29801,29317,Conway School District,19710 STATE ROUTE 534,MOUNT VERNON,Washington,98274-8026,48.337525,-122.29879199999999,WA2,39
48,_34801,14099,Cosmopolis School District,PO BOX 479 ,COSMOPOLIS,Washington,98537,46.878164,-123.64538999999999,WA6,19
49,_4801,13151,Coulee-Hartline School District,410 W LOCUST ST,COULEE CITY,Washington,99115-0428,47.613129,-119.290765,WA4,7
50,_29801,15204,Coupeville School District,501 S Main St,Coupeville,Washington,98239,48.207557,-122.68596799999999,WA2,10
51,_18801,5313,Crescent School District,PO BOX 20,JOYCE,Washington,98343-0020,48.138272,-123.72993400000001,WA6,24
