DistrictName,SchoolName,Category,Subcategory,Count,Percent,TotalCount
Aberdeen School District,J M Weatherwax High School,Certificate,TCTE500 - CAREER AND TECHNICAL EDUCATION CONTINUING TEACHER           ,1,100.0%,1
Aberdeen School District,J M Weatherwax High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,100.0%,1
Aberdeen School District,J M Weatherwax High School,Degree,Bachelor's Degree,1,100.0%,1
Aberdeen School District,J M Weatherwax High School,Gender,Male,1,100.0%,1
Aberdeen School District,J M Weatherwax High School,RaceEthnicity,White,1,100.0%,1
Anacortes School District,Anacortes High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,25.0%,4
Anacortes School District,Anacortes High School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,25.0%,4
Anacortes School District,Anacortes High School,Certificate,T330600 - PROFESSIONAL TEACHER,2,50.0%,4
Anacortes School District,Anacortes High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,25.0%,4
Anacortes School District,Anacortes High School,Degree,Bachelor's Degree,1,25.0%,4
Anacortes School District,Anacortes High School,Degree,Master's Degree,2,50.0%,4
Anacortes School District,Anacortes High School,Degree,Other/Non Degreed,1,25.0%,4
Anacortes School District,Anacortes High School,Gender,Female,1,25.0%,4
Anacortes School District,Anacortes High School,Gender,Male,3,75.0%,4
Anacortes School District,Anacortes High School,RaceEthnicity,White,4,100.0%,4
Anacortes School District,Cap Sante High School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,100.0%,1
Anacortes School District,Cap Sante High School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,100.0%,1
Anacortes School District,Cap Sante High School,Degree,Master's Degree,1,100.0%,1
Anacortes School District,Cap Sante High School,Gender,Female,1,100.0%,1
Anacortes School District,Cap Sante High School,RaceEthnicity,White,1,100.0%,1
Arlington School District,Arlington High School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,50.0%,2
Arlington School District,Arlington High School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,50.0%,2
Arlington School District,Arlington High School,Certificate,T330600 - PROFESSIONAL TEACHER,1,50.0%,2
Arlington School District,Arlington High School,Certificate,TCTE500 - CAREER AND TECHNICAL EDUCATION CONTINUING TEACHER           ,1,50.0%,2
