CongressionalDistrict,LC-TotalStudents,LC-SchoolCode,C-Latitude,C-Longitude,LC-SchoolName
WA9,2209,2797,47.373445,-122.20659,Kent-Meridian High School
WA8,2822,2849,47.357666,-122.028833,Tahoma Senior High School
WA7,1771,2220,47.676708,-122.375443,Ballard High School
WA6,2898,5071,47.946475,-124.383849,Insight School of Washington
WA5,2415,3065,47.649076,-117.193511,Central Valley High School
WA4,3250,5164,46.257499,-119.197065,Chiawana Senior High School
WA3,2259,4567,45.612573,-122.39661,Camas High School
WA2,2201,4433,47.900713,-122.301957,Kamiak High School
WA10,1901,3132,47.017326,-122.884686,Olympia High School
WA1,2551,3688,47.888325,-122.23689,Mariner High School
