,DistrictCode,SchoolCode,SchoolName,Address,City,State,ZipCode,Latitude,Longitude,StateDistrictNo,CongressionalDistrict
0,17210,4422,Rainier View Elementary School,3015 S 368TH ST,FEDERAL WAY,Washington,98003-7669,47.271096,-122.294449,#30,WA9
1,17210,4426,Green Gables Elementary School,32607 47TH AVE SW,FEDERAL WAY,Washington,98023-1938,47.309209,-122.393906,#30,WA9
2,17210,4470,Enterprise Elementary School,35101 5TH AVE SW,FEDERAL WAY,Washington,98023-8108,47.287245,-122.341085,#30,WA9
3,17210,4480,Meredith Hill Elementary School,5830 S 300TH ST,AUBURN,Washington,98001-2311,47.333845,-122.26136,#47,WA9
4,17210,4570,Todd Beamer High School,35999 16TH AV S,FEDERAL WAY,Washington,98003-7414,47.277469,-122.314377,#30,WA9
5,17216,1523,Special Ed School,2929 McDougall Avenue,Enumclaw,Washington,98022,47.188548,-122.008775,#31,WA8
6,17216,2980,Byron Kibler Elementary School,2057 Kibler Ave,Enumclaw,Washington,98022-2798,47.210569,-121.996578,#31,WA8
7,17216,3330,Enumclaw Sr High School,226 Semanski St South,Enumclaw,Washington,98022-2099,47.191204,-122.006512,#31,WA8
8,17216,3430,Black Diamond Elementary,P.O. Box 285,Black Diamond,Washington,98010,47.310568,-121.998721,#5,WA8
9,17216,3585,Westwood Elementary School,21200 SE 416th,Enumclaw,Washington,98022-9099,47.228949,-122.05798,#31,WA8
10,17216,3739,Southwood Elementary School,3240 McDougall Avenue,Enumclaw,Washington,98022-9498,47.187382,-122.011853,#31,WA8
11,17216,4210,Enumclaw Middle School,550 Semanski Street,Enumclaw,Washington,98022-2067,47.187075,-122.007961,#31,WA8
12,17216,4289,Sunrise Elementary,899 Osceola At 244th Ave SE,Enumclaw,Washington,98022-4045,47.185532,-122.014754,#31,WA8
13,17216,4550,Thunder Mountain Middle School,42018 264th Avenue SE,Enumclaw,Washington,98022-0000,47.223106,-121.987509,#31,WA8
14,17400,2981,Lakeridge Elementary School,8215 SE 78th,Mercer Island,Washington,98040-5901,47.532461,-122.22864,#41,WA9
15,17400,3029,Mercer Island High School,9100 SE 42nd,Mercer Island,Washington,98040-4199,47.571616,-122.217232,#41,WA9
16,17400,3162,Island Park Elementary,5437 Island Crest Way,Mercer Island,Washington,98040-4647,47.553752,-122.222706,#41,WA9
17,17400,3219,Islander Middle School,8225 SE 72ND,Mercer Island,Washington,98040-5399,47.537686,-122.228324,#41,WA9
18,17400,3433,West Mercer Elementary,4141 81st Ave SE,Mercer Island,Washington,98040-3928,47.571632,-122.231105,#41,WA9
19,17401,1539,CHOICE Academy,18367 8th Ave S,Seattle,Washington,98148-1934,47.437847,-122.325001,#33,WA7
20,17401,2144,Mount View Elementary,10811 12th Ave SW,Seattle,Washington,98146-2125,47.50617,-122.350671,#34,WA7
21,17401,2270,Puget Sound Skills Center,18010 8th Ave S,Seattle,Washington,98148-1908,47.441073,-122.322929,#33,WA7
22,17401,2325,Highline High School,225 S 152nd St,Burien,Washington,98148-1087,47.46649,-122.330156,#33,WA7
23,17401,2418,Des Moines Elementary,23801 16th Avenue South,Des Moines,Washington,98198-6310,47.388894,-122.313582,#33,WA9
24,17401,2639,White Center Heights Elementary,10015 6th Avenue Southwest,Seattle,Washington,98146,47.513308,-122.344119,#34,WA7
25,17401,2699,Hazel Valley Elementary,402 SW 132nd St,Burien,Washington,98146-3236,47.485608,-122.3408,#33,WA7
26,17401,2734,McMicken Heights Elementary,3708 S 168th St,SeaTac,Washington,98188-3149,47.453289,-122.28521,#33,WA9
27,17401,2765,Beverly Park Elem at Glendale,1201 S 104th St,Seattle,Washington,98168-1549,47.509438,-122.317432,#34,WA7
