,DistrictCode,SchoolCode,AllStudents,C_AllStudents,G_Female,GC_Female,G_Male,GC_Male,G_GenderX,GC_GenderX,R_Native,RC_Native,R_Asian,RC_Asian,R_Black,RC_Black,R_Hisp_Lat,RC_Hisp_Lat,R_HPI,RC_HPI,R_NA,RC_NA,R_TwoOrMore,RC_TwoOrMore,R_White,RC_White,L_ELL,LC_ELL,L_NoELL,LC_NoELL,I_LowIncome,IC_LowIncome,I_NoLowIncome,IC_NOLowIncome,D_Disability,DC_Disability,D_NoDisability,DC_NoDisability,A_9,AC_9,A_10,AC_10,A_11,AC_11,A_12,AC_12
0,1109,3075,28,3,9,0,19,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,24,3,0,0,28,3,17,1,11,2,2,0,26,3,7,0,4,0,6,1,11,2
1,1147,3015,1281,169,635,60,646,109,0,0,0,0,5,1,2,0,1173,151,0,0,0,0,3,0,98,17,402,54,879,115,1069,142,212,27,195,29,1086,140,382,51,328,44,321,29,250,45
2,1158,2903,60,22,30,12,29,10,1,0,0,0,0,0,1,0,23,11,0,0,0,0,4,2,32,9,7,3,53,19,48,17,12,5,3,1,57,21,18,12,15,2,14,2,13,6
3,1160,2132,113,24,57,13,56,11,0,0,2,2,2,0,0,0,9,0,0,0,0,0,3,0,97,22,0,0,113,24,47,7,66,17,6,4,107,20,32,7,35,5,25,4,21,8
4,2250,1617,167,0,89,0,78,0,0,0,1,0,0,0,2,0,11,0,0,0,0,0,5,0,148,0,0,0,167,0,133,0,34,0,25,0,142,0,16,0,51,0,41,0,59,0
5,2250,2299,803,29,389,10,413,19,1,0,19,0,9,0,14,0,74,2,0,0,0,0,56,4,631,23,4,0,799,29,389,11,414,18,117,1,686,28,220,13,218,12,179,3,186,1
6,2420,2434,177,14,88,3,89,11,0,0,0,0,2,1,1,1,9,1,1,0,0,0,15,0,149,11,0,0,177,14,62,9,115,5,21,1,156,13,37,4,36,0,52,6,52,4
7,3017,1884,716,0,370,0,345,0,1,0,4,0,2,0,15,0,316,0,4,0,0,0,52,0,323,0,56,0,660,0,334,0,382,0,63,0,653,0,118,0,150,0,187,0,261,0
8,3017,2826,1911,216,942,49,967,167,2,0,4,1,51,4,34,4,974,100,12,2,0,0,77,9,759,96,322,25,1589,191,1249,136,662,80,214,19,1697,197,569,54,491,79,410,32,441,51
9,3017,3731,2007,155,969,32,1035,123,3,0,14,0,32,4,49,3,602,28,2,2,0,0,103,14,1205,104,140,10,1867,145,792,55,1215,100,247,27,1760,128,566,30,527,68,489,32,425,25
10,3017,4007,92,0,23,0,69,0,0,0,0,0,0,0,10,0,35,0,0,0,0,0,9,0,38,0,3,0,89,0,58,0,34,0,17,0,75,0,14,0,29,0,33,0,16,0
11,3017,4118,392,17,208,2,184,15,0,0,1,1,6,1,1,0,169,3,1,0,0,0,0,0,214,12,0,0,392,17,145,4,247,13,1,0,391,17,0,0,0,0,175,8,217,9
12,3017,4484,1894,92,907,16,979,75,8,1,10,0,42,2,47,4,655,25,9,0,0,0,105,10,1026,51,196,5,1698,87,972,46,922,46,188,4,1706,88,492,19,471,38,460,16,471,19
13,3052,2904,464,0,229,0,234,0,1,0,2,0,2,0,0,0,221,0,1,0,0,0,11,0,227,0,97,0,367,0,340,0,124,0,74,0,390,0,125,0,120,0,107,0,112,0
14,3053,2367,311,9,149,6,161,3,1,0,0,0,3,0,2,0,149,8,0,0,0,0,6,0,151,1,44,1,267,8,245,7,66,2,52,0,259,9,62,0,80,3,97,3,72,3
15,3116,2508,972,2,493,0,478,2,1,0,12,0,9,0,7,0,617,2,1,0,0,0,13,0,313,0,165,0,807,2,683,2,289,0,120,0,852,2,249,0,220,0,232,1,271,1
16,3400,3511,2283,68,1103,13,1180,55,0,0,10,0,70,6,34,0,438,9,4,0,0,0,112,6,1615,47,105,3,2178,65,817,19,1466,49,278,15,2005,53,666,17,582,22,526,12,509,17
17,3400,3833,2033,120,1013,26,1017,94,3,0,6,0,98,15,27,1,437,15,3,1,0,0,90,9,1372,79,93,5,1940,115,649,29,1384,91,232,11,1801,109,554,41,525,28,437,11,517,40
18,3400,4295,287,1,156,1,130,0,1,0,2,0,0,0,6,0,77,0,0,0,0,0,12,0,190,1,12,0,275,1,125,0,162,1,24,0,263,1,25,0,46,0,73,1,143,0
19,4019,2623,221,61,107,30,114,31,0,0,5,1,0,0,1,0,133,44,0,0,0,0,2,0,80,16,58,17,163,44,154,44,67,17,28,9,193,52,58,12,60,39,47,9,56,1
20,4127,3317,87,0,42,0,45,0,0,0,2,0,0,0,0,0,33,0,0,0,0,0,0,0,52,0,12,0,75,0,56,0,31,0,8,0,79,0,25,0,21,0,24,0,17,0
21,4129,4260,439,0,195,0,244,0,0,0,2,0,5,0,2,0,236,0,0,0,1,0,8,0,185,0,72,0,367,0,254,0,185,0,49,0,390,0,110,0,117,0,107,0,105,0
22,4222,3268,498,148,251,69,246,79,1,0,4,1,2,2,2,1,199,56,0,0,2,0,15,4,274,84,21,5,477,143,228,64,270,84,59,14,439,134,126,119,134,18,121,7,117,4
23,4228,3564,414,23,188,4,224,19,2,0,4,0,6,0,5,1,136,5,1,0,0,0,8,0,254,17,31,0,383,23,194,8,220,15,34,0,380,23,109,9,105,7,98,4,102,3
24,4246,1612,18,0,10,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,12,0,0,0,18,0,15,0,3,0,5,0,13,0,2,0,16,0,0,0,0,0
25,4246,1613,369,0,172,0,195,0,2,0,6,0,2,0,2,0,179,0,1,0,0,0,5,0,174,0,54,0,315,0,251,0,118,0,32,0,337,0,29,0,57,0,100,0,183,0
26,4246,1802,33,0,7,0,26,0,0,0,0,0,1,0,1,0,14,0,0,0,0,0,0,0,17,0,3,0,30,0,12,0,21,0,4,0,29,0,7,0,10,0,12,0,4,0
27,4246,2134,2096,140,1011,28,1084,112,1,0,7,2,26,5,8,0,1076,68,0,0,0,0,56,4,923,61,328,17,1768,123,1197,81,899,59,291,10,1805,130,556,71,539,18,494,22,507,29
28,5121,2908,1011,82,457,9,541,71,13,2,40,3,19,2,5,0,92,9,1,0,0,0,108,8,746,60,14,3,997,79,537,52,474,30,162,11,849,71,280,33,272,27,222,14,237,8
