,DistrictCode,SchoolCode,SchoolName,Program,StudentGroup,TotalStudents,CSE-All,CSE-CourseCode
0,1109,3075,Washtucna Elementary/High School,AllStudents,All Students,28,3,3
15,1147,3015,Othello High School,AllStudents,All Students,1281,169,169
33,1158,2903,Lind-Ritzville High School,AllStudents,All Students,60,22,17
51,1160,2132,Ritzville High School,AllStudents,All Students,113,24,18
68,2250,1617,Educational Opportunity Center,AllStudents,All Students,167,0,0
85,2250,2299,Charles Francis Adams High School,AllStudents,All Students,803,29,29
105,2420,2434,Asotin Jr Sr High,AllStudents,All Students,177,14,0
123,3017,1884,Legacy High School,AllStudents,All Students,716,0,0
144,3017,2826,Kennewick High School,AllStudents,All Students,1911,216,203
165,3017,3731,Kamiakin High School,AllStudents,All Students,2007,155,139
186,3017,4007,Benton/Franklin Juvenile Justice Center,AllStudents,All Students,92,0,0
203,3017,4118,Tri-Tech Skills Center,AllStudents,All Students,392,17,7
219,3017,4484,Southridge High School,AllStudents,All Students,1894,92,76
240,3052,2904,Kiona-Benton City High School,AllStudents,All Students,464,0,0
260,3053,2367,River View High School,AllStudents,All Students,311,9,9
279,3116,2508,Prosser High School,AllStudents,All Students,972,2,2
300,3400,3511,Richland High School,AllStudents,All Students,2283,68,68
320,3400,3833,Hanford High School,AllStudents,All Students,2033,120,120
341,3400,4295,Rivers Edge High School,AllStudents,All Students,287,1,1
360,4019,2623,Manson High School,AllStudents,All Students,221,61,61
378,4127,3317,Entiat Middle and High School,AllStudents,All Students,87,0,0
394,4129,4260,Chelan High School,AllStudents,All Students,439,0,0
414,4222,3268,CASHMERE HIGH SCHOOL,AllStudents,All Students,498,148,23
435,4228,3564,Cascade High School,AllStudents,All Students,414,23,20
456,4246,1612,Skill Source,AllStudents,All Students,18,0,0
468,4246,1613,Westside High School,AllStudents,All Students,369,0,0
489,4246,1802,Chelan County Juvenile Detention Center,AllStudents,All Students,33,0,0
506,4246,2134,Wenatchee High School,AllStudents,All Students,2096,140,140
526,5121,2908,Port Angeles High School,AllStudents,All Students,1011,82,82
547,18801,3143,Clallam Co Juvenile Detention,AllStudents,All Students,29,0,0
561,5121,4003,Lincoln High School,AllStudents,All Students,69,0,0
580,5313,3473,Crescent School,AllStudents,All Students,89,1,0
598,5323,1708,Olympic Peninsula Academy,AllStudents,All Students,12,0,0
