ESDCode,ESDName,DistrictCode,DistrictName,AddressLine1,AddressLine2,City,State,Zipcode,AdministratorName,Phone,Email,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source,"Congressional District",Congress,"State Legislative District House Name","State Legislative District House Number","State Legislative District House OCD id","State Legislative District House Proportion","State Legislative District Senate Name","State Legislative District Senate Number","State Legislative District Senate OCD id","State Legislative District Senate Proportion"
34801,"Capital Region ESD 113",14005,"Aberdeen School District","216 N G ST",,ABERDEEN,Washington,98520-5297,"Lynn   Green",(360)538-2000,lgreen@asd5.org,46.978406,-123.816542,1,rooftop,216,"N G St",,,Aberdeen,WA,"Grays Harbor County",98520,US,"Grays Harbor",WA6,118th,"Legislative District 19",19,ocd-division/country:us/state:wa/sldl:19,1,"Legislative District 19",19,ocd-division/country:us/state:wa/sldu:19,1
34801,"Capital Region ESD 113",21226,"Adna School District","PO BOX 118",,ADNA,Washington,98522-0118,"Thad  nelson",(360)748-0362,nelsont@adnaschools.org,46.571323,-123.298384,0.5,place,118,"PO Box",,,Adna,WA,"Lewis County",98522,US,"TIGER/Line® dataset from the US Census Bureau",WA3,118th,"Legislative District 19",19,ocd-division/country:us/state:wa/sldl:19,1,"Legislative District 19",19,ocd-division/country:us/state:wa/sldu:19,1
32801,"Educational Service District 101",22017,"Almira School District","PO BOX 217",,ALMIRA,Washington,99103-0217,"Timothy A Payne",(509)639-2414,tpayne@almirasd.org,47.71098,-118.94085,0.5,place,217,"PO Box",,,Almira,WA,"Lincoln County",99103,US,"TIGER/Line® dataset from the US Census Bureau",WA5,118th,"Legislative District 7",7,ocd-division/country:us/state:wa/sldl:7,0.239,"Legislative District 7",7,ocd-division/country:us/state:wa/sldu:7,0.239
29801,"Northwest Educational Service District 189",29103,"Anacortes School District","2200 M AVE",,ANACORTES,Washington,98221-3794,"Justin  Irish",(360)503-1210,jirish@asd103.org,48.504118,-122.618175,1,rooftop,2200,"M Ave",,,Anacortes,WA,"Skagit County",98221,US,"Statewide WA",WA2,118th,"Legislative District 40",40,ocd-division/country:us/state:wa/sldl:40,1,"Legislative District 40",40,ocd-division/country:us/state:wa/sldu:40,1
29801,"Northwest Educational Service District 189",31016,"Arlington School District","315 N FRENCH AVE",,ARLINGTON,Washington,98223-1317,"Chrys  Sweeting",(360)618-6200,csweeting@asd.wednet.edu,48.195295,-122.122951,0.9,nearest_rooftop_match,314,"N French Ave",,,Arlington,WA,"Snohomish County",98223,US,"Statewide WA",WA1,118th,"Legislative District 10",10,ocd-division/country:us/state:wa/sldl:10,1,"Legislative District 10",10,ocd-division/country:us/state:wa/sldu:10,1
11801,"Educational Service District 123",02420,"Asotin-Anatone School District","PO BOX 489",,ASOTIN,Washington,99402-0489,"Dale  Bonfield",(509)243-1100,dbonfield@aasd.wednet.edu,46.33933,-117.04821,0.5,place,489,"PO Box",,,Asotin,WA,"Asotin County",99402,US,"TIGER/Line® dataset from the US Census Bureau",WA5,118th,"Legislative District 9",9,ocd-division/country:us/state:wa/sldl:9,1,"Legislative District 9",9,ocd-division/country:us/state:wa/sldu:9,1
17801,"Puget Sound Educational Service District 121",17408,"Auburn School District","915 4TH ST NE",,AUBURN,Washington,98002-4452,"Alan  Spicciati",(253)931-4914,aspicciati@auburn.wednet.edu,47.311986,-122.217163,1,rooftop,915,"4th St NE",,,Auburn,WA,"King County",98002,US,King,WA9,118th,"Legislative District 47",47,ocd-division/country:us/state:wa/sldl:47,1,"Legislative District 47",47,ocd-division/country:us/state:wa/sldu:47,1
17801,"Puget Sound Educational Service District 121",18303,"Bainbridge Island School District","8489 MADISON AVE NE",,"BAINBRIDGE ISLAND",Washington,98110-2999,"Peter  Bang-Knudsen",(206)780-1050,pbangknudsen@bisd303.org,47.642745,-122.521168,1,range_interpolation,8489,"Madison Ave NE",,,"Bainbridge Island",WA,"Kitsap County",98110,US,"TIGER/Line® dataset from the US Census Bureau",WA6,118th,"Legislative District 23",23,ocd-division/country:us/state:wa/sldl:23,1,"Legislative District 23",23,ocd-division/country:us/state:wa/sldu:23,1
06801,"Educational Service District 112",06119,"Battle Ground School District","PO BOX 200",,"BATTLE GROUND",Washington,98604-0200,"Denny  Waters",(360)885-5302,waters.denny@battlegroundps.org,45.803592,-122.531645,0.5,place,200,"PO Box",,,"Battle Ground",WA,"Clark County",98604,US,"TIGER/Line® dataset from the US Census Bureau",WA3,118th,"Legislative District 18",18,ocd-division/country:us/state:wa/sldl:18,0.358,"Legislative District 18",18,ocd-division/country:us/state:wa/sldu:18,0.358
17801,"Puget Sound Educational Service District 121",17405,"Bellevue School District","PO BOX 90010",,BELLEVUE,Washington,98005-3183,"Kelly  Aramaki",(425)456-4000,aramakik@bsd405.org,47.620471,-122.178883,0.5,place,90010,"PO Box",,,Bellevue,WA,"King County",98005,US,"TIGER/Line® dataset from the US Census Bureau",WA9,118th,"Legislative District 41",41,ocd-division/country:us/state:wa/sldl:41,0.329,"Legislative District 41",41,ocd-division/country:us/state:wa/sldu:41,0.329
