ESDCode,ESDName,LEACode,LEAName,SchoolCode,SchoolName,LowestGrade,HighestGrade,AddressLine1,AddressLine2,City,State,ZipCode,PrincipalName,Email,Phone,OrgCategoryList,AYPCode,GradeCategory,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,Congressional District,Congress,State Legislative District House Name,State Legislative District House Number,State Legislative District House OCD id,State Legislative District House Proportion,State Legislative District Senate Name,State Legislative District Senate Number,State Legislative District Senate OCD id,State Legislative District Senate Proportion
32801,Educational Service District 101,01109,Washtucna School District,3075,Washtucna Elementary/High School,PK,12,730 East Booth Avenue,,Washtucna,Washington,99371-0688,Vance  Wing,vwing@tucna.wednet.edu,509.646.3211," Public School, Regular School",P,PK-12,46.752615,-118.310248,1,rooftop,730,E Booth Ave,,,Washtucna,WA,Adams County,99371,US,Statewide WA,WA5,118th,Legislative District 9,9,ocd-division/country:us/state:wa/sldl:9,1,Legislative District 9,9,ocd-division/country:us/state:wa/sldu:9,1
32801,Educational Service District 101,01122,Benge School District,3142,Benge Elementary,K ,6,2978 E. Benge-Winona Rd.,,Benge,Washington,99105-0697,  ,,," Public School, Regular School",P,Elementary School,46.910718,-118.099834,1,rooftop,2978,E Benge-Winona Rd,,,Benge,WA,Adams County,99105,US,Statewide WA,WA5,118th,Legislative District 9,9,ocd-division/country:us/state:wa/sldl:9,1,Legislative District 9,9,ocd-division/country:us/state:wa/sldu:9,1
11801,Educational Service District 123,01147,Othello School District,2902,Lutacaga Elementary,K ,6,795 S 7th Ave,,Othello,Washington,99344-1463,Aurora  Garza,agarza@othello.wednet.edu,509 488 9669," Public School, Regular School",P,Elementary School,46.818093,-119.16386,1,rooftop,795,S 7th Ave,,,Othello,WA,Adams County,99344,US,Statewide WA,WA4,118th,Legislative District 15,15,ocd-division/country:us/state:wa/sldl:15,1,Legislative District 15,15,ocd-division/country:us/state:wa/sldu:15,1
11801,Educational Service District 123,01147,Othello School District,2961,Hiawatha Elementary School,K ,6,506 N 7th Ave,,Othello,Washington,99344-1463,William  Scheffler-Von Bracht,wivonbracht@othelloschools.org,509.488.3389," Public School, Regular School",P,Elementary School,46.831017,-119.163661,1,rooftop,506,N 7th Ave,,,Othello,WA,Adams County,99344,US,Statewide WA,WA4,118th,Legislative District 15,15,ocd-division/country:us/state:wa/sldl:15,1,Legislative District 15,15,ocd-division/country:us/state:wa/sldu:15,1
11801,Educational Service District 123,01147,Othello School District,3015,Othello High School,9,12,340 S 7th Ave,,Othello,Washington,99344-1463,Alejandro  Vergara,avergara@othelloschools.org,509.488.3351 ext. 2010," Public School, Regular School",P,High School,46.823907,-119.166113,1,rooftop,340,S 7th Ave,,,Othello,WA,Adams County,99344,US,Statewide WA,WA4,118th,Legislative District 15,15,ocd-division/country:us/state:wa/sldl:15,1,Legislative District 15,15,ocd-division/country:us/state:wa/sldu:15,1
11801,Educational Service District 123,01147,Othello School District,3471,McFarland Middle School,6,8,790 S 10th Ave ,,Othello,Washington,99344-1463,Dennis  Adams,Dadams@othello.wednet.edu,509 488 3326," Public School, Regular School",P,Middle School,46.817953,-119.15984,1,rooftop,790,S 10th Ave,,,Othello,WA,Adams County,99344,US,Statewide WA,WA4,118th,Legislative District 15,15,ocd-division/country:us/state:wa/sldl:15,1,Legislative District 15,15,ocd-division/country:us/state:wa/sldu:15,1
11801,Educational Service District 123,01147,Othello School District,3730,Scootney Springs Elementary,K ,6,695 S 14th Ave,,Othello,Washington,99344-1463,Jennifer  Garza,jennifergarza@othello.wednet.edu,509.488.9625," Public School, Regular School",P,Elementary School,46.819618,-119.15382,1,rooftop,695,S 14th Ave,,,Othello,WA,Adams County,99344,US,Statewide WA,WA4,118th,Legislative District 15,15,ocd-division/country:us/state:wa/sldl:15,1,Legislative District 15,15,ocd-division/country:us/state:wa/sldu:15,1
32801,Educational Service District 101,01158,Lind School District,2903,Lind-Ritzville High School,9,12,209 E Wellsandt Rd,,Ritzville,Washington,99169,Kevin  Terris,kterris@lrschools.org,509.659.1720," Public School, Regular School",P,High School,47.126121,-118.368435,0.95,rooftop,209,E Wellsandt Ave,,,Ritzville,WA,Adams County,99169,US,Statewide WA,WA5,118th,Legislative District 9,9,ocd-division/country:us/state:wa/sldl:9,1,Legislative District 9,9,ocd-division/country:us/state:wa/sldu:9,1
32801,Educational Service District 101,01158,Lind School District,3421,Lind Elementary School,PK,5,PO BOX 340,,Lind,Washington,99341-0340,Darrell  Lembcke,dlembcke@lrschools.org,509.347.6733," Public School, Regular School",P,Elementary School,46.904229,-118.690546,0.5,place,340,PO Box,,,Lind,WA,Adams County,99341,US,TIGER/Line® dataset from the US Census Bureau,WA5,118th,Legislative District 9,9,ocd-division/country:us/state:wa/sldl:9,1,Legislative District 9,9,ocd-division/country:us/state:wa/sldu:9,1
32801,Educational Service District 101,01160,Ritzville School District,2132,Ritzville High School,9,12,209 E Wellsandt Avenue,,Ritzville,Washington,99169-1674,Kevin  Terris,kterris@lrschools.org,509.659.1720," Public School, Regular School",P,High School,47.126121,-118.368435,1,rooftop,209,E Wellsandt Ave,,,Ritzville,WA,Adams County,99169,US,Statewide WA,WA5,118th,Legislative District 9,9,ocd-division/country:us/state:wa/sldl:9,1,Legislative District 9,9,ocd-division/country:us/state:wa/sldu:9,1
32801,Educational Service District 101,01160,Ritzville School District,2719,Ritzville Grade School,K ,5,401 E 6th Ave.,,Ritzville,Washington,99169-1674,Cindy  Deska,cdeska@lrschools.org,509.659.0323," Public School, Regular School",P,Elementary School,47.126066,-118.370046,1,rooftop,401,E 6th Ave,,,Ritzville,WA,Adams County,99169,US,Statewide WA,WA5,118th,Legislative District 9,9,ocd-division/country:us/state:wa/sldl:9,1,Legislative District 9,9,ocd-division/country:us/state:wa/sldu:9,1
11801,Educational Service District 123,02250,Clarkston School District,1617,Educational Opportunity Center,7,12,1284 Chestnut St,,Clarkston,Washington,99403-2557,Elece A. Lockridge,LockridgeE@csdk12.org,509.758.4508," Alternative School, Public School",A,Other,46.410942,-117.057765,1,rooftop,1284,Chestnut St,,,Clarkston,WA,Asotin County,99403,US,Statewide WA,WA5,118th,Legislative District 9,9,ocd-division/country:us/state:wa/sldl:9,1,Legislative District 9,9,ocd-division/country:us/state:wa/sldu:9,1
11801,Educational Service District 123,02250,Clarkston School District,2299,Charles Francis Adams High School,9,12,401 Chestnut St,,Clarkston,Washington,99403-2673,Doug  LaMunyan,LamunyanD@csdk12.org,509.758.5591," Public School, Regular School",P,High School,46.409775,-117.042937,1,rooftop,401,Chestnut St,,,Clarkston,WA,Asotin County,99403,US,Asotin,WA5,118th,Legislative District 9,9,ocd-division/country:us/state:wa/sldl:9,1,Legislative District 9,9,ocd-division/country:us/state:wa/sldu:9,1
11801,Educational Service District 123,02250,Clarkston School District,2501,Lincoln Middle School,7,8,1945 4th Ave,,Clarkston,Washington,99403-1319,Michael  Sperry,SperryM@csdk12.org,509.758.5506," Public School, Regular School",P,Middle School,46.390768,-117.079175,1,rooftop,1945,4th Ave,,,Clarkston,WA,Asotin County,99403,US,Asotin,WA5,118th,Legislative District 9,9,ocd-division/country:us/state:wa/sldl:9,1,Legislative District 9,9,ocd-division/country:us/state:wa/sldu:9,1
